Company,IS_PARTIAL_OWNER_OF,Company
0001144215,IS_PARTIAL_OWNER_OF,0001408287
0000008947,IS_PARTIAL_OWNER_OF,0000055805
0000012927,IS_PARTIAL_OWNER_OF,0000026537
0000070858,IS_PARTIAL_OWNER_OF,0001140411
0000070858,IS_PARTIAL_OWNER_OF,0001170299
0000070858,IS_PARTIAL_OWNER_OF,0001170300
0000070858,IS_PARTIAL_OWNER_OF,0001737995
0000070858,IS_PARTIAL_OWNER_OF,0001199004
0000070858,IS_PARTIAL_OWNER_OF,0001137887
0000070858,IS_PARTIAL_OWNER_OF,0001425627
0000070858,IS_PARTIAL_OWNER_OF,0001083839
0000070858,IS_PARTIAL_OWNER_OF,0000844790
0000070858,IS_PARTIAL_OWNER_OF,0000008504
0000070858,IS_PARTIAL_OWNER_OF,0001140392
0000070858,IS_PARTIAL_OWNER_OF,0001181506
0000070858,IS_PARTIAL_OWNER_OF,0001181504
0000070858,IS_PARTIAL_OWNER_OF,0001854458
0000070858,IS_PARTIAL_OWNER_OF,0000901243
0000070858,IS_PARTIAL_OWNER_OF,0001232860
0000070858,IS_PARTIAL_OWNER_OF,0001774342
0000070858,IS_PARTIAL_OWNER_OF,0001080720
0000070858,IS_PARTIAL_OWNER_OF,0001487610
0000070858,IS_PARTIAL_OWNER_OF,0001160990
0000070858,IS_PARTIAL_OWNER_OF,0001219360
0000070858,IS_PARTIAL_OWNER_OF,0001244183
0000070858,IS_PARTIAL_OWNER_OF,0001170311
0000070858,IS_PARTIAL_OWNER_OF,0001851230
0000070858,IS_PARTIAL_OWNER_OF,0001842916
0000070858,IS_PARTIAL_OWNER_OF,0001777482
0000070858,IS_PARTIAL_OWNER_OF,0001723701
0000070858,IS_PARTIAL_OWNER_OF,0000882300
0000070858,IS_PARTIAL_OWNER_OF,0001196876
0000070858,IS_PARTIAL_OWNER_OF,0001196872
0000070858,IS_PARTIAL_OWNER_OF,0001666071
0000070858,IS_PARTIAL_OWNER_OF,0000835333
0000070858,IS_PARTIAL_OWNER_OF,0000921671
0000070858,IS_PARTIAL_OWNER_OF,0001655544
0000070858,IS_PARTIAL_OWNER_OF,0001074688
0000070858,IS_PARTIAL_OWNER_OF,0001074692
0000070858,IS_PARTIAL_OWNER_OF,0000107454
0000070858,IS_PARTIAL_OWNER_OF,0001196867
0000070858,IS_PARTIAL_OWNER_OF,0001196869
0000070858,IS_PARTIAL_OWNER_OF,0001196871
0000070858,IS_PARTIAL_OWNER_OF,0001196875
0000070858,IS_PARTIAL_OWNER_OF,0001196877
0000070858,IS_PARTIAL_OWNER_OF,0001343793
0000070858,IS_PARTIAL_OWNER_OF,0001162028
0000070858,IS_PARTIAL_OWNER_OF,0001607997
0000070858,IS_PARTIAL_OWNER_OF,0000902748
