Company,HAS_EXCHANGE_MARKET,Exchange
0001584509,HAS_EXCHANGE_MARKET,NYSE
0001389050,HAS_EXCHANGE_MARKET,NYSE
0001428205,HAS_EXCHANGE_MARKET,NYSE
0000007536,HAS_EXCHANGE_MARKET,NYSE
0000879407,HAS_EXCHANGE_MARKET,Nasdaq
0000007789,HAS_EXCHANGE_MARKET,NYSE
0000890564,HAS_EXCHANGE_MARKET,NYSE
0001674862,HAS_EXCHANGE_MARKET,NYSE
0001673985,HAS_EXCHANGE_MARKET,NYSE
0001817358,HAS_EXCHANGE_MARKET,Nasdaq
0000792987,HAS_EXCHANGE_MARKET,Nasdaq
0001083446,HAS_EXCHANGE_MARKET,Nasdaq
0001580808,HAS_EXCHANGE_MARKET,NYSE
0000730464,HAS_EXCHANGE_MARKET,NYSE
0001018963,HAS_EXCHANGE_MARKET,NYSE
0000731802,HAS_EXCHANGE_MARKET,NYSE
0000896622,HAS_EXCHANGE_MARKET,NYSE
0000883948,HAS_EXCHANGE_MARKET,NYSE
0000104918,HAS_EXCHANGE_MARKET,NYSE
0001368622,HAS_EXCHANGE_MARKET,Nasdaq
0000915912,HAS_EXCHANGE_MARKET,NYSE
0001730168,HAS_EXCHANGE_MARKET,Nasdaq
0001606498,HAS_EXCHANGE_MARKET,NYSE
0001122976,HAS_EXCHANGE_MARKET,NYSE
0000008858,HAS_EXCHANGE_MARKET,Nasdaq
0001722482,HAS_EXCHANGE_MARKET,NYSE
0000008818,HAS_EXCHANGE_MARKET,NYSE
0000007431,HAS_EXCHANGE_MARKET,NYSE
0001410636,HAS_EXCHANGE_MARKET,NYSE
0001056903,HAS_EXCHANGE_MARKET,NYSE
0001299709,HAS_EXCHANGE_MARKET,NYSE
0001062231,HAS_EXCHANGE_MARKET,NYSE
0000004962,HAS_EXCHANGE_MARKET,NYSE
0001616862,HAS_EXCHANGE_MARKET,NYSE
0001144215,HAS_EXCHANGE_MARKET,NYSE
0000866787,HAS_EXCHANGE_MARKET,NYSE
0000933974,HAS_EXCHANGE_MARKET,Nasdaq
0000008947,HAS_EXCHANGE_MARKET,NYSE
0000012927,HAS_EXCHANGE_MARKET,NYSE
0000070858,HAS_EXCHANGE_MARKET,NYSE
0001169770,HAS_EXCHANGE_MARKET,NYSE
0000760498,HAS_EXCHANGE_MARKET,Nasdaq
0000946673,HAS_EXCHANGE_MARKET,Nasdaq
0000010456,HAS_EXCHANGE_MARKET,NYSE
0000701985,HAS_EXCHANGE_MARKET,NYSE
0000764478,HAS_EXCHANGE_MARKET,NYSE
0000014930,HAS_EXCHANGE_MARKET,NYSE
0001328581,HAS_EXCHANGE_MARKET,NYSE
0000078890,HAS_EXCHANGE_MARKET,NYSE
0000009326,HAS_EXCHANGE_MARKET,Nasdaq
0000913142,HAS_EXCHANGE_MARKET,NYSE
0000790816,HAS_EXCHANGE_MARKET,NYSE
0000010795,HAS_EXCHANGE_MARKET,NYSE
0000038777,HAS_EXCHANGE_MARKET,NYSE
0000014693,HAS_EXCHANGE_MARKET,NYSE
0001101215,HAS_EXCHANGE_MARKET,NYSE
0000907254,HAS_EXCHANGE_MARKET,NYSE
0001094831,HAS_EXCHANGE_MARKET,Nasdaq
0001278027,HAS_EXCHANGE_MARKET,NYSE
0000863436,HAS_EXCHANGE_MARKET,NYSE
0001685040,HAS_EXCHANGE_MARKET,Nasdaq
0001108134,HAS_EXCHANGE_MARKET,NYSE
0000875045,HAS_EXCHANGE_MARKET,Nasdaq
0001786352,HAS_EXCHANGE_MARKET,NYSE
0000012208,HAS_EXCHANGE_MARKET,NYSE
0001531152,HAS_EXCHANGE_MARKET,NYSE
0001013488,HAS_EXCHANGE_MARKET,Nasdaq
0001390777,HAS_EXCHANGE_MARKET,NYSE
0000885245,HAS_EXCHANGE_MARKET,NYSE
0001130464,HAS_EXCHANGE_MARKET,NYSE
0001075531,HAS_EXCHANGE_MARKET,Nasdaq
0001701605,HAS_EXCHANGE_MARKET,Nasdaq
0001504008,HAS_EXCHANGE_MARKET,NYSE
0001666134,HAS_EXCHANGE_MARKET,Nasdaq
0001633931,HAS_EXCHANGE_MARKET,NYSE
0000834365,HAS_EXCHANGE_MARKET,Nasdaq
0002012383,HAS_EXCHANGE_MARKET,NYSE
0001280058,HAS_EXCHANGE_MARKET,Nasdaq
0001546417,HAS_EXCHANGE_MARKET,Nasdaq
0000009092,HAS_EXCHANGE_MARKET,NYSE
0001048477,HAS_EXCHANGE_MARKET,Nasdaq
0000014272,HAS_EXCHANGE_MARKET,NYSE
0000046195,HAS_EXCHANGE_MARKET,NYSE
0001610250,HAS_EXCHANGE_MARKET,NYSE
0001372612,HAS_EXCHANGE_MARKET,NYSE
0001383312,HAS_EXCHANGE_MARKET,NYSE
0001772016,HAS_EXCHANGE_MARKET,NYSE
0000746598,HAS_EXCHANGE_MARKET,NYSE
0001067983,HAS_EXCHANGE_MARKET,NYSE
0001049782,HAS_EXCHANGE_MARKET,Nasdaq
0001109354,HAS_EXCHANGE_MARKET,Nasdaq
0000079282,HAS_EXCHANGE_MARKET,NYSE
0001581068,HAS_EXCHANGE_MARKET,NYSE
0001748824,HAS_EXCHANGE_MARKET,NYSE
0000885725,HAS_EXCHANGE_MARKET,NYSE
0001064728,HAS_EXCHANGE_MARKET,NYSE
0001579298,HAS_EXCHANGE_MARKET,NYSE
0000908255,HAS_EXCHANGE_MARKET,NYSE
0001486957,HAS_EXCHANGE_MARKET,NYSE
0001061630,HAS_EXCHANGE_MARKET,NYSE
0001037540,HAS_EXCHANGE_MARKET,NYSE
0000906553,HAS_EXCHANGE_MARKET,NYSE
0000831001,HAS_EXCHANGE_MARKET,NYSE
0001632127,HAS_EXCHANGE_MARKET,NYSE
0000016058,HAS_EXCHANGE_MARKET,NYSE
0000023217,HAS_EXCHANGE_MARKET,NYSE
0000721371,HAS_EXCHANGE_MARKET,NYSE
0000887596,HAS_EXCHANGE_MARKET,Nasdaq
0000014707,HAS_EXCHANGE_MARKET,NYSE
0000016160,HAS_EXCHANGE_MARKET,Nasdaq
0001406666,HAS_EXCHANGE_MARKET,NYSE
0000723612,HAS_EXCHANGE_MARKET,Nasdaq
0001494259,HAS_EXCHANGE_MARKET,Nasdaq
0001783180,HAS_EXCHANGE_MARKET,NYSE
0001683606,HAS_EXCHANGE_MARKET,NYSE
0001579091,HAS_EXCHANGE_MARKET,Nasdaq
0000907471,HAS_EXCHANGE_MARKET,Nasdaq
0000726958,HAS_EXCHANGE_MARKET,Nasdaq
0000018230,HAS_EXCHANGE_MARKET,NYSE
0000861842,HAS_EXCHANGE_MARKET,Nasdaq
0001639438,HAS_EXCHANGE_MARKET,NYSE
0000896159,HAS_EXCHANGE_MARKET,NYSE
0001374310,HAS_EXCHANGE_MARKET,CBOE
0001138118,HAS_EXCHANGE_MARKET,NYSE
0001067294,HAS_EXCHANGE_MARKET,Nasdaq
0000022356,HAS_EXCHANGE_MARKET,Nasdaq
0000016040,HAS_EXCHANGE_MARKET,NYSE
0000723188,HAS_EXCHANGE_MARKET,NYSE
0001627223,HAS_EXCHANGE_MARKET,NYSE
0001051470,HAS_EXCHANGE_MARKET,NYSE
0001219601,HAS_EXCHANGE_MARKET,NYSE
0000815097,HAS_EXCHANGE_MARKET,NYSE
0001158324,HAS_EXCHANGE_MARKET,Nasdaq
0001576940,HAS_EXCHANGE_MARKET,NYSE
0001725057,HAS_EXCHANGE_MARKET,NYSE
0000813672,HAS_EXCHANGE_MARKET,Nasdaq
0000860546,HAS_EXCHANGE_MARKET,NYSE
0001402057,HAS_EXCHANGE_MARKET,Nasdaq
0001306830,HAS_EXCHANGE_MARKET,NYSE
0001341766,HAS_EXCHANGE_MARKET,Nasdaq
0000887733,HAS_EXCHANGE_MARKET,Nasdaq
0000949157,HAS_EXCHANGE_MARKET,Nasdaq
0001827090,HAS_EXCHANGE_MARKET,Nasdaq
0001173489,HAS_EXCHANGE_MARKET,Nasdaq
0001324404,HAS_EXCHANGE_MARKET,NYSE
0001490906,HAS_EXCHANGE_MARKET,Nasdaq
0000759944,HAS_EXCHANGE_MARKET,NYSE
0000039263,HAS_EXCHANGE_MARKET,NYSE
0001527166,HAS_EXCHANGE_MARKET,Nasdaq
0000851205,HAS_EXCHANGE_MARKET,Nasdaq
0000726854,HAS_EXCHANGE_MARKET,Nasdaq
0000313927,HAS_EXCHANGE_MARKET,NYSE
0000020212,HAS_EXCHANGE_MARKET,Nasdaq
0000019584,HAS_EXCHANGE_MARKET,NYSE
0001517175,HAS_EXCHANGE_MARKET,Nasdaq
0001046311,HAS_EXCHANGE_MARKET,NYSE
0001486159,HAS_EXCHANGE_MARKET,Nasdaq
0001043277,HAS_EXCHANGE_MARKET,Nasdaq
0001091667,HAS_EXCHANGE_MARKET,Nasdaq
0001766502,HAS_EXCHANGE_MARKET,NYSE
0001739940,HAS_EXCHANGE_MARKET,NYSE
0000936395,HAS_EXCHANGE_MARKET,NYSE
0000020286,HAS_EXCHANGE_MARKET,Nasdaq
0001509589,HAS_EXCHANGE_MARKET,NYSE
0000021665,HAS_EXCHANGE_MARKET,NYSE
0001958086,HAS_EXCHANGE_MARKET,NYSE
0000764065,HAS_EXCHANGE_MARKET,NYSE
0000822818,HAS_EXCHANGE_MARKET,NYSE
0000827876,HAS_EXCHANGE_MARKET,Nasdaq
0000021076,HAS_EXCHANGE_MARKET,NYSE
0000028412,HAS_EXCHANGE_MARKET,NYSE
0000022444,HAS_EXCHANGE_MARKET,NYSE
0001166691,HAS_EXCHANGE_MARKET,Nasdaq
0001156375,HAS_EXCHANGE_MARKET,Nasdaq
0001058090,HAS_EXCHANGE_MARKET,NYSE
0000026172,HAS_EXCHANGE_MARKET,NYSE
0000811156,HAS_EXCHANGE_MARKET,NYSE
0001071739,HAS_EXCHANGE_MARKET,NYSE
0001567094,HAS_EXCHANGE_MARKET,NYSE
0001385280,HAS_EXCHANGE_MARKET,NYSE
0001856525,HAS_EXCHANGE_MARKET,NYSE
0000816956,HAS_EXCHANGE_MARKET,NYSE
0001224608,HAS_EXCHANGE_MARKET,NYSE
0001130310,HAS_EXCHANGE_MARKET,NYSE
0001710366,HAS_EXCHANGE_MARKET,NYSE
0001284812,HAS_EXCHANGE_MARKET,NYSE
0001070412,HAS_EXCHANGE_MARKET,NYSE
0001803599,HAS_EXCHANGE_MARKET,Nasdaq
0001050377,HAS_EXCHANGE_MARKET,Nasdaq
0000927628,HAS_EXCHANGE_MARKET,NYSE
0000820318,HAS_EXCHANGE_MARKET,NYSE
0000021535,HAS_EXCHANGE_MARKET,Nasdaq
0000317540,HAS_EXCHANGE_MARKET,Nasdaq
0000887343,HAS_EXCHANGE_MARKET,Nasdaq
0001267565,HAS_EXCHANGE_MARKET,Nasdaq
0001050797,HAS_EXCHANGE_MARKET,Nasdaq
0002014596,HAS_EXCHANGE_MARKET,NYSE
0000711404,HAS_EXCHANGE_MARKET,Nasdaq
0000933136,HAS_EXCHANGE_MARKET,Nasdaq
0001163165,HAS_EXCHANGE_MARKET,NYSE
0001088856,HAS_EXCHANGE_MARKET,Nasdaq
0000909832,HAS_EXCHANGE_MARKET,Nasdaq
0001024305,HAS_EXCHANGE_MARKET,NYSE
0000016732,HAS_EXCHANGE_MARKET,Nasdaq
0000701347,HAS_EXCHANGE_MARKET,NYSE
0000019745,HAS_EXCHANGE_MARKET,NYSE
0001530721,HAS_EXCHANGE_MARKET,NYSE
0000900075,HAS_EXCHANGE_MARKET,Nasdaq
0001369568,HAS_EXCHANGE_MARKET,Nasdaq
0000906345,HAS_EXCHANGE_MARKET,NYSE
0001944013,HAS_EXCHANGE_MARKET,NYSE
0001609253,HAS_EXCHANGE_MARKET,NYSE
0001866175,HAS_EXCHANGE_MARKET,NYSE
0001060822,HAS_EXCHANGE_MARKET,NYSE
0000023194,HAS_EXCHANGE_MARKET,NYSE
0001100682,HAS_EXCHANGE_MARKET,NYSE
0001108524,HAS_EXCHANGE_MARKET,NYSE
0001334036,HAS_EXCHANGE_MARKET,Nasdaq
0000017843,HAS_EXCHANGE_MARKET,NYSE
0001743759,HAS_EXCHANGE_MARKET,Nasdaq
0000772406,HAS_EXCHANGE_MARKET,Nasdaq
0000874866,HAS_EXCHANGE_MARKET,Nasdaq
0000858877,HAS_EXCHANGE_MARKET,Nasdaq
0001057352,HAS_EXCHANGE_MARKET,Nasdaq
0001005757,HAS_EXCHANGE_MARKET,Nasdaq
0000790051,HAS_EXCHANGE_MARKET,NYSE
0000798359,HAS_EXCHANGE_MARKET,NYSE
0001624794,HAS_EXCHANGE_MARKET,NYSE
0000277948,HAS_EXCHANGE_MARKET,Nasdaq
0000723254,HAS_EXCHANGE_MARKET,Nasdaq
